Date,Close,High,Low,Open,Volume
2023-01-13,132.757172,132.914797,129.703253,130.067750,57809700
2023-01-17,133.919662,135.249590,132.136565,132.826159,63646600
2023-01-18,133.200500,136.549963,133.023168,134.786573,69672800
2023-01-19,133.259613,134.225044,131.781906,132.087296,58280400
2023-01-20,135.820984,135.968764,132.225236,133.269480,80223600
2023-01-23,139.012833,141.189994,135.850533,136.067264,81760300
2023-01-24,140.411713,141.032354,138.214859,138.224705,66435100
2023-01-25,139.751678,140.313199,136.747005,138.796093,65799300
2023-01-26,141.820480,142.106164,139.791083,141.042213,54105100
2023-01-27,143.761169,145.041852,140.953535,141.032348,70555800
2023-01-30,140.874741,143.386846,140.726976,142.805618,64015300
2023-01-31,142.145538,142.194798,140.165417,140.579173,65874500
2023-02-01,143.268616,144.431086,139.219713,141.830323,77663600
2023-02-02,148.578522,148.933157,145.967897,146.687044,118339000
2023-02-03,152.203827,155.041029,145.632958,145.829983,154357300
2023-02-06,149.474976,150.824625,148.539098,150.302503,69858300
2023-02-07,152.351593,152.922975,148.401195,148.401195,83322600
2023-02-08,149.662155,152.282626,148.923302,151.593032,64120100
2023-02-09,148.627747,152.036330,148.184438,151.494501,56007100
2023-02-10,148.992828,149.318422,147.226746,147.463545,57450700
2023-02-13,151.794891,152.199403,148.904022,148.933620,62199000
2023-02-14,151.153564,151.715958,148.844826,150.087989,61707600
2023-02-15,153.255112,153.422839,150.837842,151.064765,65573800
2023-02-16,151.656769,154.241766,151.301577,151.459428,68167900
2023-02-17,150.512268,150.956254,148.834979,150.314943,59144100
2023-02-21,146.496613,149.278950,146.427555,148.193638,58867200
2023-02-22,146.920883,147.946984,145.194259,146.881409,51011300
2023-02-23,147.404327,148.331773,145.273192,148.085113,48394200
2023-02-24,144.750290,145.223874,143.773509,145.144941,55469600
2023-02-27,145.944107,147.177410,145.480384,145.736921,44998500
2023-02-28,145.440918,147.088608,144.868664,145.085726,50547000
2023-03-01,143.368942,145.263293,143.072947,144.868642,55479000
2023-03-02,143.960953,144.750269,141.977792,142.451392,52238100
2023-03-03,149.012573,149.091506,145.362000,146.062508,70732300
2023-03-06,151.775177,154.212185,151.410124,151.735703,87558000
2023-03-07,149.574951,151.972484,149.111228,151.646891,56182000
2023-03-08,150.827957,151.419948,149.801856,150.768761,47204800
2023-03-09,148.578430,152.475663,148.223238,151.508758,53833600
2023-03-10,146.516312,148.923720,145.638201,148.203476,68572400
2023-03-13,148.460037,151.094370,145.727034,145.835566,84457100
2023-03-14,150.551682,151.350859,148.094953,149.259183,73695900
2023-03-15,150.946365,151.202887,147.917367,149.170407,77167900
2023-03-16,153.768188,154.370041,149.614418,150.127476,76161100
2023-03-17,152.929504,154.646267,152.219121,153.995080,98944600
2023-03-20,155.297440,155.711842,152.090853,152.998577,73641400
2023-03-21,157.152359,157.270751,154.448954,155.218549,73938300
2023-03-22,155.721710,159.974135,155.701973,157.172075,75701800
2023-03-23,156.807022,159.392035,155.573719,156.708367,67622100
2023-03-24,158.109406,158.198200,155.741470,156.737974,59196500
2023-03-27,156.165695,158.622439,155.761168,157.803525,52390300
2023-03-28,155.544128,156.372919,153.896438,155.859861,45992200
2023-03-29,158.622452,158.898710,157.221422,157.241144,51305700
2023-03-30,160.191223,160.299754,159.115787,159.372308,49501700
2023-03-31,162.697266,162.795936,159.747216,160.270135,68749800
2023-04-03,163.950302,164.068694,162.026353,162.075688,56976200
2023-04-04,163.417542,164.611370,162.904483,164.374586,46278300
2023-04-05,161.572525,162.845302,159.638715,162.539445,51511700
2023-04-06,162.460510,162.756506,159.836038,160.260287,45390100
2023-04-10,159.865616,159.865616,157.941667,159.263764,47716900
2023-04-11,158.652054,160.191213,158.365919,160.181352,47644200
2023-04-12,157.961441,159.895252,157.645708,159.066476,50133100
2023-04-13,163.348465,163.585264,159.263767,159.470969,68445600
2023-04-14,163.003159,164.098332,161.631727,162.391430,49386500
2023-04-17,163.022888,163.180755,161.838921,162.884759,41516200
2023-04-18,164.246292,165.173738,163.437238,163.881239,49923000
2023-04-19,165.390839,165.913758,163.328745,163.585282,47720200
2023-04-20,164.423920,165.627624,163.348483,163.871402,52456400
2023-04-21,162.815689,164.226580,162.292770,162.845287,58337300
2023-04-24,163.121536,163.387934,161.700769,162.795943,41949600
2023-04-25,161.582397,164.088462,161.542923,162.983428,48714100
2023-04-26,161.572525,163.072225,160.625357,160.881878,45498800
2023-04-27,166.160400,166.308391,162.983412,162.983412,64902300
2023-04-28,167.413437,167.581179,165.637493,166.239345,55275900
2023-05-01,167.324615,168.173128,166.387309,167.018759,52472900
2023-05-02,166.288635,168.074470,165.301993,167.817933,48425700
2023-05-03,165.213257,168.636907,164.927137,167.235877,65136000
2023-05-04,163.575394,164.808696,162.115168,162.687422,81235400
2023-05-05,171.251495,171.971740,168.479018,168.696081,113453200
2023-05-08,171.182388,171.527719,169.810957,170.176009,55962800
2023-05-09,169.475540,171.221886,169.307813,170.738441,45326900
2023-05-10,171.241592,171.705315,169.603763,170.708812,53724500
2023-05-11,171.429062,172.257838,169.870166,171.527732,49514700
2023-05-12,170.500336,171.972456,168.949158,171.537731,45533100
2023-05-15,170.006332,171.132660,169.413522,171.083256,37266700
2023-05-16,170.006332,171.063492,169.739566,169.927290,42110300
2023-05-17,170.618927,170.856039,168.376147,169.650684,57951600
2023-05-18,172.950607,173.138331,170.510229,170.925190,65496700
2023-05-19,173.059311,174.274555,172.841948,174.274555,55809500
2023-05-22,172.110764,172.614657,171.369759,171.893401,43570900
2023-05-23,169.502441,171.300621,169.225801,171.053619,50747300
2023-05-24,169.779099,170.352144,168.474937,169.038093,45143500
2023-05-25,170.915329,171.814404,169.630917,170.342283,56058300
2023-05-26,173.326035,173.661968,171.033866,171.241355,54835000
2023-05-30,175.173615,176.843348,174.452374,174.837696,55964400
2023-05-31,175.124222,177.199042,174.640093,175.203264,99625300
2023-06-01,177.930130,177.959769,174.808025,175.568795,68901800
2023-06-02,178.779831,179.599878,177.110097,178.858873,61996900
2023-06-05,177.426270,182.731861,175.904731,180.439693,121946500
2023-06-06,177.060699,177.959774,175.302034,177.811579,64848400
2023-06-07,175.687393,179.036736,175.193390,176.299953,61944600
2023-06-08,178.404419,178.671170,175.331717,175.766427,50214900
2023-06-09,178.789719,180.044476,178.463675,179.323236,48900000
2023-06-12,181.585754,181.684561,178.799583,179.095988,54274900
2023-06-13,181.111511,181.941433,180.251950,180.607633,54929100
2023-06-14,181.743851,182.178576,179.837005,181.170805,57462900
2023-06-15,183.779160,184.283053,181.575908,181.753757,65433200
2023-06-16,182.702209,184.747391,182.060011,184.490499,101256200
2023-06-20,182.791138,183.868077,182.198343,182.198343,49799100
2023-06-21,181.753754,183.186361,180.400174,182.682467,49515700
2023-06-22,184.757294,184.806697,181.467229,181.536397,51245300
2023-06-23,184.441116,185.310567,182.791147,183.324679,53117000
2023-06-26,183.048035,185.794693,183.008506,184.589323,48088700
2023-06-27,185.804565,186.130609,183.443230,183.660592,50730800
2023-06-28,186.980301,187.622499,185.350096,185.676125,51216800
2023-06-29,187.316208,187.790462,186.674009,186.812330,46347300
2023-06-30,191.643692,192.147570,188.966187,189.331760,85213200
2023-07-03,190.151794,191.554762,189.460178,191.455956,31458200
2023-07-05,189.035324,190.665529,188.333833,189.272451,46920300
2023-07-06,189.509583,189.717071,186.930884,187.563208,45094300
2023-07-07,188.393127,190.359266,187.958417,189.114383,46815000
2023-07-10,186.347977,187.711431,184.796799,186.990175,59922200
2023-07-11,185.824341,187.029710,184.362095,186.891390,46638100
2023-07-12,187.494049,189.400895,186.209637,187.405117,60750200
2023-07-13,188.254791,188.897005,187.503912,188.215278,41342300
2023-07-14,188.403030,188.887144,187.355746,187.948541,41616200
2023-07-17,191.663452,191.989496,189.509589,189.598506,50520200
2023-07-18,191.406570,191.999381,190.112284,191.031138,48288200
2023-07-19,192.760147,195.852598,190.339518,190.784133,80507300
2023-07-20,190.813782,194.113721,190.191333,192.750267,59581200
2023-07-21,189.638046,192.631706,188.936555,191.772145,71951700
2023-07-24,190.438324,192.572422,189.944321,191.090412,45377800
2023-07-25,191.297882,192.108055,190.606280,191.011367,37283200
2023-07-26,192.167313,193.293640,191.001472,191.347265,47471900
2023-07-27,190.902695,194.834958,190.240732,193.669117,47460200
2023-07-28,193.481384,194.271793,191.811650,192.335293,48291400
2023-07-31,194.093948,194.133477,192.918218,193.708626,38824100
2023-08-01,193.264008,194.370570,192.937964,193.886457,35175100
2023-08-02,190.270370,192.839179,189.549130,192.700859,50389300
2023-08-03,188.877258,190.062863,188.403019,189.272470,61235200
2023-08-04,179.807358,185.132714,179.738190,183.295020,115956800
2023-08-07,176.705048,180.933716,175.223037,179.945709,97576100
2023-08-08,177.643631,178.107995,175.450255,177.534950,67823000
